Año,Mes,Personal,Claro,Nextel,Movistar,Otros,Total general
2024,3,33358,61816,,53300,1130.0,149604
2024,2,29137,61065,,54802,783.0,145787
2024,1,34071,66073,,59748,742.0,160634
2023,12,33140,50613,,46767,622.0,131142
2023,11,31928,55229,,51260,650.0,139067
2023,10,36724,52853,,50733,635.0,140945
2023,9,35828,60525,,59853,826.0,157032
2023,8,37488,60450,,64574,1059.0,163571
2023,7,40469,58950,,56976,563.0,156958
2023,6,43106,64829,,64097,686.0,172718
2023,5,48835,69432,,71340,527.0,190134
2023,4,49819,75864,,69237,334.0,195254
2023,3,62834,98316,,92180,307.0,253637
2023,2,45371,81714,,80848,248.0,208181
2023,1,55906,105125,,104264,253.0,265548
2022,12,46782,113363,,109610,224.0,269979
2022,11,52120,128313,,118940,238.0,299611
2022,10,60855,117430,,119716,153.0,298154
2022,9,63315,131071,,115906,143.0,310435
2022,8,68659,132676,,115879,42.0,317256
2022,7,74674,111849,,111521,27.0,298071
2022,6,77276,120505,,115937,54.0,313772
2022,5,78284,120009,,120463,49.0,318805
2022,4,81377,119297,,116799,24.0,317497
2022,3,89455,121763,,129339,9.0,340566
2022,2,71090,98497,,95792,,265379
2022,1,73717,88856,,96240,,258813
2021,12,75534,116284,,102538,,294356
2021,11,81311,126052,,104985,,312348
2021,10,59953,109684,,94402,,264039
2021,9,64926,114432,,102903,,282261
2021,8,51784,95638,,105276,,252698
2021,7,60070,90200,,86468,,236738
2021,6,60496,76371,,69162,,206029
2021,5,54806,69968,,64470,,189244
2021,4,59652,92317,,80413,,232382
2021,3,48500,90372,,88262,,227134
2021,2,38849,70465,,67414,,176728
2021,1,50281,59515,,60438,,170234
2020,12,64018,52124,,85248,,201390
2020,11,66673,67793,,101097,,235563
2020,10,74301,64224,,103392,,241917
2020,9,104995,77443,,114069,,296507
2020,8,104601,78804,,112460,,295865
2020,7,76580,86328,,90651,,253559
2020,6,81723,86023,,81860,,249606
2020,5,52346,72532,,61038,,185916
2020,4,40750,52115,,38307,,131172
2020,3,93260,91794,,74891,,259945
2020,2,105456,105933,,99332,,310721
2020,1,105975,119695,,93691,,319361
2019,12,118579,115255,,81623,,315804
2019,11,118691,100593,,90280,,312994
2019,10,132957,95397,,102656,,377682
2019,9,127245,76641,,111005,,352563
2019,8,106652,86058,,124810,,323159
2019,7,91398,82485,,143327,,329655
2019,6,80790,67440,,129752,,285592
2019,5,98204,87637,,137443,,331514
2019,4,86241,76450,,102819,,272200
2019,3,72198,69313,,73611,,219113
2019,2,71411,71701,,66692,,214485
2019,1,66504,72971,,59687,,203772
2018,12,53686,57390,,55891,,170501
2018,11,58063,59247,,54266,,174474
2018,10,60248,59447,,48759,,171546
2018,9,56064,51444,,43296,,153629
2018,8,51585,51724,2.0,42499,,149459
2018,7,46021,40638,2.0,39969,,132419
2018,6,43392,38957,3.0,38406,,131454
2018,5,42813,43353,1.0,43987,,139781
2018,4,33606,39355,1.0,40674,,116763
2018,3,33853,42155,7.0,38111,,114972
2018,2,27426,32373,7.0,31010,,91147
2018,1,32709,37392,6.0,35985,,106465
2017,12,34212,31605,5.0,36796,,102618
2017,11,38124,32483,7.0,43126,,113740
2017,10,35106,31308,12.0,44360,,110786
2017,9,29727,29254,16.0,45112,,104109
2017,8,32438,33573,11.0,48605,,114627
2017,7,28801,33225,10.0,48663,,110699
2017,6,27878,30152,10.0,46635,,104675
2017,5,26815,37117,12.0,46360,,110304
2017,4,22779,35362,9.0,42091,,100241
2017,3,35054,44484,17.0,45757,,125312
2017,2,28147,36141,13.0,33437,,97738
2017,1,40045,45136,11.0,32769,,117961
2016,12,49056,49418,8.0,41295,,139777
2016,11,60749,59173,31.0,53090,,173043
2016,10,63646,66547,21.0,48557,,178771
2016,9,66049,66661,12.0,44350,,177072
2016,8,61158,64310,30.0,55470,,180968
2016,7,52424,56027,16.0,45767,,154234
2016,6,52415,56339,19.0,45423,,154196
2016,5,47523,57266,33.0,43505,,148327
2016,4,43425,54620,22.0,45207,,143274
2016,3,40567,46820,46.0,40978,,128411
2016,2,34206,43156,38.0,29873,,107273
2016,1,33697,41738,37.0,27419,,102891
2015,12,39724,49628,48.0,27740,,117140
2015,11,35672,49509,67.0,31906,,117154
2015,10,36550,62394,70.0,28987,,128001
2015,9,34797,66242,101.0,23639,,124779
2015,8,32414,56791,81.0,17030,,106316
2015,7,38991,64814,122.0,18966,,122893
2015,6,43877,67324,115.0,16170,,127486
2015,5,29633,58549,103.0,12651,,100936
2015,4,30317,59543,136.0,13426,,103422
2015,3,27141,45272,100.0,11898,,84411
2015,2,23254,40913,83.0,9631,,73881
2015,1,32142,42240,144.0,10161,,84687
2014,12,34862,41532,116.0,13603,,90345
2014,11,25707,35730,124.0,12571,,74132
2014,10,39893,41998,116.0,15247,,97254
2014,9,32561,41094,172.0,15167,,88994
2014,8,27979,39750,123.0,12412,,80264
2014,7,28078,41544,155.0,15936,,85713
2014,6,24978,38601,149.0,10941,,74669
2014,5,22177,27152,163.0,9035,,58527
2014,4,20250,21888,155.0,5750,,48043
2014,3,14253,21314,170.0,5635,,41372
2014,2,11052,16992,193.0,4948,,33185
2014,1,10790,14575,134.0,4724,,30223
2013,12,13106,14760,153.0,5274,,33293
2013,11,11438,15022,151.0,6625,,33236
2013,10,12349,15240,175.0,6799,,34563
2013,9,11604,14897,210.0,6972,,33683
2013,8,7539,13439,213.0,7351,,28542
2013,7,7831,12628,226.0,6420,,27105
2013,6,6376,9496,257.0,5936,,22065
2013,5,8169,12169,318.0,8227,,28883
2013,4,8107,11615,240.0,7560,,27522
2013,3,7424,9224,249.0,7368,,24265
2013,2,6277,8016,200.0,5836,,20329
2013,1,9208,11356,271.0,6720,,27555
2012,12,8612,10740,280.0,7165,,26797
2012,11,10914,11456,398.0,7671,,30439
2012,10,13126,13664,375.0,8452,,35617
2012,9,11975,12780,405.0,8232,,33392
2012,8,12225,10677,599.0,10017,,33518
2012,7,13494,9651,487.0,10173,,33805
2012,6,10472,10153,676.0,9523,,30824
2012,5,10770,15663,312.0,7890,,34635
2012,4,4883,2188,26.0,937,,8034
2012,3,40,72,0.0,41,,153
